,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
4227,IT硬件技术服务经理(双休+五险),武汉天翌数据科技发展有限公司,武汉,6-8千/月,07-23,2年经验,大专,信息技术经理/主管;服务经理,招2人
4228,高薪机场营业员收银员,宁波源和商业管理有限公司,成都-双流区,3-4.5千/月,07-23,无工作经验,高中,店员/营业员;其他,招10人
4229,企划实习生,贵州众享时代商业管理有限责任公司,黔南,3-4.5千/月,07-23,无工作经验,中专,企业策划人员;文案/策划;企划人员,招若干人
4230,Executive Chefs 行政总厨,深圳上横町餐饮管理有限公司,深圳-福田区,2-3万/月,07-23,10年以上经验,高中,行政主厨/厨师长;行政总厨;厨师长;料理长;日本料理,招若干人
4231,南京浦口/江宁/板桥4S店驻店销售,上海利真汽车服务咨询有限公司南京分公司,南京-建邺区,1-1.5万/月,07-23,1年经验,大专,销售代表;客户代表;绩效奖金;带薪年假;五险一金;奖金丰厚;立即上岗;专业培训;员工旅游;节日福利,招5人
4232,仓库打单员,广州市炳胜饮食有限公司,广州-海珠区,3.8-4.6千/月,07-23,1年经验,,仓库管理员;仓库管理;货物盘点,招若干人
4233,业务经理（四川各级城市）,成都市华海鹏城酒业有限公司,四川省,0.8-1.5万/月,07-23,3-4年经验,大专,销售经理;渠道销售,招10人
4234,急招销售助理,广东维元素食品有限公司,广州-天河区,6-9万/年,07-23,2年经验,大专,销售行政专员;销售行政助理;销售助理;销售分析;销售行政;销售服务,招若干人
4235,常规仪表技术员,广东重仪机械工程服务有限公司,烟台,6-8千/月,07-23,无工作经验,,其他,招若干人
4236,东圃高薪聘天猫运营,广州云贝网络科技有限公司,广州-天河区,0.8-1.2万/月,07-23,无工作经验,,网店/淘宝店长;网店/淘宝运营;天猫运营;电商运营;淘宝运营,招1人
4237,市场专员,湖南江湾医疗产业发展有限责任公司,长沙-开福区,6-8千/月,07-23,5-7年经验,,市场/营销/拓展专员,招5人
4238,叉车司机,旭硝子汽车玻璃（中国）有限公司,长沙-长沙县,4.5-6千/月,07-23,1年经验,高中,叉车/铲车工,招1人
4239,房地产置业顾问,元谋九州无同旅游地产开发有限公司,楚雄,0.3-1.5万/月,07-23,无工作经验,,房地产销售,招6人
4240,高薪聘亚马逊运营跨境电商,广州市菱志服装有限公司,广州-白云区,6-8千/月,07-23,1年经验,大专,网站运营专员;网店/淘宝运营;运营;亚马逊运营;网店运营,招2人
4241,宿舍管理员（生活老师）,重庆市为明学校,重庆,2-5千/月,07-23,无工作经验,,后勤;育婴师/保育员;宿管员,招若干人
4242,外贸销售,中山恒昇办公耗材有限公司,中山,0.5-1.5万/月,07-23,无工作经验,,贸易/外贸经理/主管;外贸专员;外贸业务员;外贸业务;外贸销售;外贸主管,招2人
4243,收单业务专员,广州君诚互联科技有限公司,广州-番禺区,3-8千/月,07-23,2年经验,大专,销售经理;销售代表;销售代表;支付行业;外卡业务;外卡收单;收单专员;销售,招5人
4244,前台接待、预定,庐江县福瑞临大酒店有限公司,合肥-庐江县,2-3千/月,07-23,无工作经验,中技,预订员;礼仪/迎宾;前台接待;预定;晋升渠道;领班;主管;经理;副总,招2人
4245,市场部专员,宁波中博国际展览有限公司,宁波-鄞州区,4-8千/月,07-23,无工作经验,本科,市场助理;会务/会展专员;助理;经理助理;市场助理;双休;五险一金;餐贴;交通补贴,招1人
4246,单片机开发工程师,大峡谷照明系统（苏州）股份有限公司,苏州-吴江区,0.7-1.1万/月,07-23,1年经验,大专,硬件工程师;单片机,招1人
4247,平面设计实习生,上海四个石头广告有限公司,上海-虹口区,100元/天,07-23,无工作经验,,平面设计师;绘画;创意设计;Logo;VI;平面设计师;实习生,招10人
4248,测试工程师-食品接触材料,上海格瑞产品检测有限公司,上海-浦东新区,0.6-1万/月,07-23,无工作经验,,化工技术应用/化工工程师;食品/饮料研发,招3人
4249,网络推广专员,苏州聚煊电子科技有限公司,苏州,6-8千/月,07-23,无工作经验,,网络推广专员;网络推广,招若干人
4250,财险吉林-党群工作岗,太平财产保险有限公司吉林分公司,长春,4.5-6千/月,07-23,1年经验,本科,党工团干事,招1人
4251,政府关系-文学,爱奇艺（www.iqiyi.com）,北京-海淀区,0.8-1.5万/月,07-23,3-4年经验,本科,政府事务管理,招1人
4252,Sales Specialist - LS ID45338,凯杰企业管理（上海）有限公司,上海,4.5-6千/月,07-23,无工作经验,,其他,招若干人
4253,电气电控检测员,TCL德龙家用电器（中山）有限公司,中山,4.5-6千/月,07-23,3-4年经验,大专,质量检验员/测试员,招若干人
4254,单证实习生,嘉里大通物流有限公司杭州分公司,杭州-拱墅区,100元/天,07-23,,,,
4255,银行销售+七险一金（大冶区域）,招商银行股份有限公司黄石分行,黄石,0.6-1.2万/月,07-23,1年经验,大专,销售代表;直销销售;销售;金融;银行;电话销售,招5人
4256,KA专员,内蒙古蒙牛乳业（集团）股份有限公司,北京,4.5-8千/月,07-23,1年经验,大专,大客户销售;KA、大客户,招1人
4257,客服专员(电商）,马克华菲（上海）商业有限公司,上海-徐汇区,4.5-6千/月,07-23,1年经验,大专,客服专员/助理,招1人
4258,事业部副总经理（线上创新业务）,杉德银卡通信息服务有限公司,上海-徐汇区,80-100万/年,07-23,无工作经验,本科,副总经理/副总裁;销售总监;支付;账户;金融;销售,招1人
4259,销售工程师（EMS行业）,三菱电机自动化（中国）有限公司,上海,5.5-8千/月,07-23,2年经验,本科,销售代表,招1人
4260,可靠性工程师,捷普集团-武汉奥新科技有限公司,武汉,1-1.5万/月,07-23,无工作经验,,可靠度工程师,招1人
4261,仓库管理员,合肥娃哈哈饮料有限公司,合肥,4.5-6千/月,07-23,1年经验,大专,仓库管理员;仓库管理,招2人
4262,统一企业重庆涪陵区销售代表,成都统一企业食品有限公司重庆分公司,重庆-涪陵区,2.5-3.5千/月,07-23,无工作经验,中专,渠道/分销专员,招1人
4263,轨道售前工程师,海信网络科技公司,河北省,6-8千/月,07-23,2年经验,本科,售前/售后技术支持工程师;轨道;智能交通;投标;政府;智慧城市,招1人
4264,现代渠道财务专员,广州立白企业集团有限公司,广州,6-8千/月,07-23,1年经验,本科,会计,招2人
4265,市场销售助理,欧西爱司物流（上海）有限公司广州分公司,广州-黄埔区,4-6千/月,07-23,无工作经验,大专,销售行政助理,招1人
4266,销售代表-电商（劳务外包）SR-Ecommerce,"高露洁棕榄（中国）有限公司 Colgate-Palmolive (China) Co.,Ltd & Colgate (China) Co.,Ltd",上海,4.5-6千/月,07-23,无工作经验,,销售代表;销售行政助理;业务代表;销售代表;销售人员;电商,招1人
4267,质量检验员,中联重科特力液压有限公司,常德,4.5-6千/月,07-23,无工作经验,大专,质量检验员/测试员,招若干人
4268,策划经理,奥克斯地产杭州分公司,湖州,1-1.5万/月,07-23,无工作经验,,房地产项目/策划经理,招1人
4269,行政前台,富力地产江苏公司,苏州-吴中区,4.5-6千/月,07-23,无工作经验,,前台接待/总机/接待生;行政专员/助理,招若干人
4270,高级数据统计专员,周生生珠宝（佛山）有限公司,佛山-顺德区,,07-23,无工作经验,大专,统计员,招1人
4271,品类采购主管,浙江苏泊尔家电制造有限公司,绍兴,5-6万/年,07-23,2年经验,本科,采购主管,招1人
4272,招商银行客户经理月薪过万,招商银行股份有限公司信用卡中心,大连,0.6-1.5万/月,07-23,无工作经验,大专,市场/营销/拓展专员;信用卡销售;银行;销售,招5人
4273,医药代表（南京）(001646),东阿阿胶股份有限公司,南京,6-8千/月,07-23,无工作经验,本科,销售代表,招1人
4274,咨询顾问,晓乐教育,苏州,0.8-1万/月,07-23,无工作经验,大专,培训/课程顾问;销售代表;销售代表,招5人
4275,Android开发工程师,珠海市魅族科技有限公司,珠海,1-1.5万/月,07-23,1年经验,本科,软件工程师,招1人
4276,三亚德邦诚聘高薪快递员,德邦快递,异地招聘,5-8千/月,07-23,,,,
4277,综合维修工,红星美凯龙国际家居连锁（西北区域）,咸阳,2-3千/月,07-23,1年经验,初中及以下,电子/电器维修工程师/技师,招1人
4278,食品安全专员,上海西贝餐饮管理有限公司,上海,7-8千/月,07-23,无工作经验,大专,其他,招若干人
4279,急招快件操作,嘉里大通物流有限公司青岛分公司,青岛-城阳区,,07-23,,,,
4280,汽车售后客服技术专员,马自达（中国）企业管理有限公司,上海-嘉定区,6-9千/月,07-23,3-4年经验,大专,售前/售后技术支持工程师;汽车售后,招1人
4281,销售代表（三亚）,青岛啤酒股份有限公司,三亚,6-8千/月,07-23,无工作经验,,销售代表,招1人
4282,资深客户经理,中信证券股份有限公司长沙岳麓大道证券营业部,长沙-岳麓区,4.8-7.2千/月,07-23,无工作经验,本科,投资/理财顾问;金融产品经理;客户经理,招5人
4283,维修工/调试工（宝鸡）,成都天纳克富晟汽车零部件有限公司,宝鸡,6-8千/月,07-23,3-4年经验,中专,技工;维修工程师;维修维护;汽车;排气系统,招1人
4284,销售代表,广州医药有限公司,广州-荔湾区,6-8千/月,07-23,无工作经验,大专,销售代表;实习生;销售代表;药学;医学;生物,招若干人
4285,会计,重庆德庄饮食连锁有限公司,重庆-南岸区,4-6千/月,07-23,3-4年经验,本科,会计,招1人
4286,人力行政经理/主管,KAPPA（中国）,武汉-江岸区,6-9千/月,07-23,5-7年经验,大专,人事经理;人事主管,招若干人
4287,线上外卖营销主管,鱼酷餐饮连锁管理有限公司,上海,1.3-1.5万/月,07-23,2年经验,大专,市场/营销/拓展主管;外卖;线上;外卖营销;外卖业务,招1人
4288,Automation Technician自动化技术员(三班倒),布雷博中国,南京,,07-23,,,,
4289,行政司机,大润发购物广场,昆明-官渡区,3-4.5千/月,07-23,3-4年经验,高中,后勤,招1人
